date,age,salary_expect,experience,degree_lvl,hired
12-01-2024,25,50000,2,B,N
12-03-2024,30,60000,7,B,Y
12-03-2024,28,80000,1,PHD,Y
12-04-2024,40,100000,15,B,N
12-05-2024,35,80000,10,B,Y
12-05-2024,32,90000,5,PHD,Y
12-05-2024,29,80000,4,B,N
12-06-2024,29,90000,3,M,N
12-06-2024,31,85000,5,B,N
12-06-2024,27,60000,4,B,Y
12-09-2024,25,65000,2,B,N
12-09-2024,31,90000,5,M,N
12-10-2024,32,85000,9,B,Y
12-11-2024,51,120000,16,B,Y
12-11-2024,60,134000,24,B,N
12-12-2024,32,92000,10,B,Y
12-13-2024,35,100000,10,M,Y
12-13-2024,41,120000,13,B,N
12-13-2024,44,124000,15,PHD,Y
12-16-2024,29,80000,4,B,N
12-16-2024,31,90000,5,B,N
12-16-2024,32,95000,6,PHD,Y
12-17-2024,33,100000,7,M,Y
12-17-2024,35,110000,8,B,N
12-18-2024,37,120000,9,PHD,Y
12-18-2024,29,80000,4,B,N
12-18-2024,31,90000,5,B,N
12-19-2024,32,95000,6,PHD,Y
12-20-2024,33,100000,7,M,Y
12-20-2024,35,110000,8,B,N
12-20-2024,37,120000,9,PHD,Y
12-20-2024,29,80000,4,B,N
